# ID, Campaign, Class, Class Probs (DSCUT, EA, EB, GDOR, Noise, OTHPER, RRab), Anomaly Score
202059397,0,OTHPER,0.000153,0.022905,0.000696,0.007746,0.472475,0.496025,0.000000,0.010101
202059403,0,OTHPER,0.001377,0.005037,0.000173,0.063023,0.420686,0.509704,0.000000,0.000000
202059406,0,OTHPER,0.042349,0.018001,0.015524,0.139108,0.346130,0.436217,0.002673,0.063830
202059409,0,OTHPER,0.015940,0.012772,0.077246,0.080626,0.009934,0.802003,0.001479,0.102941
202059410,0, Noise,0.002905,0.001616,0.000106,0.018528,0.543209,0.433636,0.000000,0.003344
202059414,0,OTHPER,0.002736,0.005579,0.029622,0.082657,0.003163,0.875256,0.000987,0.048951
202059415,0, Noise,0.026309,0.112958,0.020209,0.152050,0.447146,0.237546,0.003781,0.027397
202059416,0,    EB,0.000187,0.035514,0.960740,0.000051,0.000170,0.003338,0.000000,0.067616
202059418,0,  GDOR,0.016235,0.051238,0.022881,0.643897,0.162446,0.102268,0.001034,0.045296
202059421,0,OTHPER,0.003133,0.067829,0.027955,0.013808,0.102705,0.783916,0.000654,0.010101
202059422,0,    EA,0.067049,0.260403,0.088371,0.114274,0.248198,0.221640,0.000064,0.041667
202059428,0,OTHPER,0.001310,0.002821,0.000107,0.038183,0.334109,0.623471,0.000000,0.000000
202059430,0,OTHPER,0.002088,0.002460,0.000770,0.092527,0.144302,0.757854,0.000000,0.045296
202059432,0, DSCUT,0.706316,0.003046,0.005157,0.070989,0.096830,0.115217,0.002446,0.132075
202059433,0,    EA,0.001132,0.958085,0.016739,0.007029,0.006426,0.010588,0.000000,0.200000
202059434,0,OTHPER,0.007527,0.013303,0.011605,0.327280,0.011895,0.628191,0.000199,0.027397
202059435,0, Noise,0.021838,0.080746,0.017095,0.209526,0.431191,0.239088,0.000515,0.023891
202059501,0,OTHPER,0.000382,0.005465,0.002055,0.014023,0.135621,0.842453,0.000000,0.013514
202059511,0, Noise,0.005170,0.025825,0.002408,0.095695,0.503140,0.367082,0.000681,0.027397
202059521,0, Noise,0.004881,0.025008,0.002357,0.078631,0.512539,0.375903,0.000681,0.030928
202059522,0,OTHPER,0.000320,0.013001,0.002579,0.004627,0.121930,0.857482,0.000061,0.045296
202059530,0, Noise,0.000137,0.001746,0.000247,0.000172,0.932383,0.065315,0.000000,0.003344
202059531,0, Noise,0.000059,0.003156,0.000620,0.000511,0.713353,0.282302,0.000000,0.010101
202059532,0, Noise,0.002264,0.072972,0.017399,0.006623,0.731321,0.167004,0.002415,0.075269
202059545,0,OTHPER,0.000471,0.014592,0.001408,0.005374,0.418699,0.559354,0.000103,0.013514
202059547,0, Noise,0.000621,0.021278,0.002841,0.000574,0.853844,0.120843,0.000000,0.003344
202059552,0,OTHPER,0.004981,0.256029,0.226872,0.020914,0.224366,0.259492,0.007346,0.027397
202059586,0, Noise,0.039903,0.208379,0.070503,0.047162,0.395993,0.236692,0.001367,0.006711
202059600,0,OTHPER,0.000493,0.026365,0.018890,0.014377,0.004470,0.935152,0.000253,0.034483
